"contact_id","days_since_last_purchase","order_num","total_sales","product_num","active_days"
"43637329",364,1,22.95,1,0
"11182233",364,1,16.95,1,0
"42177777",364,1,83.94,1,0
"42412321",223,3,139.81,3,141
"41058507",364,1,179.95,1,0
"147101",364,1,379.9,2,0
"42453396",1,408,21256.89,128,363
"32878996",364,1,69.95,1,0
"28648600",364,1,15.95,1,0
"15883730",364,1,123,1,0
"44549059",364,1,13.95,1,0
"25280138",364,1,24.95,1,0
"38714927",364,1,29.95,1,0
"2501881",364,1,13.95,1,0
"44328163",364,1,119.95,1,0
"10241919",364,1,11.97,1,0
"32082962",364,1,59.95,1,0
"18724970",364,1,21.95,1,0
"37399331",364,1,61.95,1,0
"14109188",364,1,99.9,1,0
"12839545",364,1,14.95,1,0
"26155868",364,1,159.9,1,0
"9263170",288,2,204,6,76
"2904111",364,1,139.95,1,0
"46262932",162,4,238.75,3,202
"601512",323,2,73.94,2,41
"32321475",364,1,14.95,1,0
"38205579",364,1,212.95,1,0
"25374145",364,1,163.95,1,0
"8748696",364,1,44.95,1,0
"33856947",124,2,502.41,2,240
"19795946",155,3,74.85,3,209
"4388390",364,1,25.95,1,0
"47441353",364,1,97.95,1,0
"39505213",364,1,49.95,1,0
"15455333",364,1,359.95,1,0
"5403090",95,5,308.15,8,269
"12680001",364,1,31.47,1,0
"48703020",364,1,199.95,1,0
"25474176",364,1,12.95,1,0
"37721471",364,1,23.95,1,0
"16579342",64,2,33.9,2,300
"27700304",364,1,37.9,2,0
"24111854",364,1,38.95,1,0
"45003179",364,1,135.95,2,0
"42574575",364,1,94.95,1,0
"23376977",364,1,44.95,1,0
"31766483",55,2,73.46,2,309
"30389131",364,1,249.95,1,0
"36027088",194,13,285.05,2,170
"3912912",364,1,78.9,2,0
"41176359",351,2,292.91,3,13
"16030016",364,1,51.9,1,0
"31869827",364,1,52.47,1,0
"1134812",364,1,34.95,1,0
"28335352",364,1,240.51,1,0
"25387170",35,16,970.95,17,329
"1756076",364,1,139.92,2,0
"46057080",247,2,89.9,2,117
"2429130",364,1,73,1,0
"10595780",17,3,558.4,11,347
"41186590",364,1,39.9,1,0
"38039838",55,2,269.85,2,309
"37285314",364,1,176.19,1,0
"15738182",96,6,143.28,5,268
"12290830",364,1,39.95,1,0
"44979467",364,1,155.95,1,0
"15562950",364,1,94.95,1,0
"27245567",364,1,54.95,1,0
"42691405",198,2,52.9,2,166
"33594337",364,1,29.95,1,0
"555499",32,3,304.8,3,332
"26971532",364,1,115.95,1,0
"44176046",1,549,32487.58,271,363
"21124020",74,6,426.5,8,290
"9155949",364,1,59.9,1,0
"4209658",251,7,337.4,5,113
"26774334",364,1,7.95,1,0
"5858999",364,1,27.95,1,0
"12543417",364,1,157.21,1,0
"32933305",364,1,31.9,1,0
"6433131",364,1,22.95,1,0
"19650947",364,1,21.95,1,0
"9321271",364,1,65.95,1,0
"11959416",279,2,82.85,2,85
"26130776",364,1,22.95,1,0
"48362340",364,1,65.95,1,0
"34888814",364,1,27.97,1,0
"36093315",177,2,309.85,2,187
"44213224",364,1,69.95,1,0
"49981935",159,2,46.85,2,205
"37415656",102,4,235.49,5,262
"14316018",24,715,44411.89,385,340
"1699477",364,1,11.12,1,0
"31887413",131,2,294.9,2,233
"29689132",364,1,93.95,1,0
"37250975",137,3,1044.55,7,227
"36620869",364,1,32.95,1,0
"30112475",282,2,77.9,2,82
"38758657",187,3,132.85,3,177
"8861557",364,1,118.95,1,0
"7835431",364,1,89.95,1,0
"42353962",359,2,643.85,2,5
"30304251",364,1,49.95,1,0
"4294342",364,1,38.9,2,0
"49695944",364,1,38.28,1,0
"16155229",364,1,49.95,1,0
"320742",364,1,104.95,1,0
"23842915",364,1,19.95,1,0
"44357161",364,1,24.47,1,0
"39166580",364,1,29.95,1,0
"49141897",0,1224,66869.82,252,364
"24467022",364,1,198.96,2,0
"10789641",364,1,399.95,1,0
"12938082",364,1,611.39,1,0
"7628800",195,2,147.8,4,169
"36403523",359,2,59.9,2,5
"11862204",364,1,79.95,1,0
"7487910",364,1,38.95,1,0
"35244243",5,1664,104799.63,1066,359
"20041655",364,1,32.95,1,0
"40348988",5,7,184.65,6,359
"28754398",364,1,42.41,2,0
"32833634",364,1,14.88,1,0
"29159493",11,7,555.61,8,353
"5346585",364,1,107.97,1,0
"12876723",364,1,102.9,2,0
"47768153",364,1,40.94,2,0
"667889",126,7,486.65,8,238
"12841563",364,1,17.9,1,0
"9737085",364,1,25.95,1,0
"13576843",364,1,163.95,1,0
"48351646",338,2,90.91,2,26
"25013922",364,1,199.95,2,0
"10768164",364,1,139.95,1,0
"38446332",295,2,127.82,2,69
"33458107",364,1,24.95,1,0
"14817897",364,1,59.95,1,0
"44450668",364,1,59.95,1,0
"33595832",364,1,69.95,1,0
"47298922",27,2,88.9,2,337
"41349121",364,1,31.95,1,0
"15783338",1,1194,44657.51,245,363
"26529585",364,1,144.8,2,0
"17861412",199,2,47.8,1,165
"6447431",47,2,297.9,1,317
"42450402",364,1,145.9,1,0
"44892155",364,1,53.16,2,0
"12606258",364,1,159.92,2,0
"8625851",160,2,354.65,6,204
"15556992",364,1,14.95,1,0
"21325338",364,1,109.04,1,0
"22421455",364,1,89.9,1,0
"47628861",364,1,123.17,1,0
"33193408",344,2,179.91,2,20
"2650127",364,1,27.97,1,0
"31786019",364,1,27.95,1,0
"34708978",364,1,129.95,1,0
"43480460",364,1,85.95,1,0
"43376256",364,1,53.9,2,0
"9209462",364,1,34.95,1,0
"38672904",364,1,86.85,1,0
"27287266",364,1,19.95,1,0
"14029350",82,5,595.6,6,282
"18544840",364,1,31.9,1,0
"2165981",344,2,61.92,2,20
"3829940",364,1,132.9,1,0
"19239380",364,1,24.95,1,0
"37711634",17,4,155.27,6,347
"32773325",364,1,45.95,1,0
"8477653",364,1,7.95,1,0
"3098988",364,1,44.04,1,0
"33506671",364,1,18.4,1,0
"412496",15,3,497.89,6,349
"49379125",364,1,19.95,1,0
"43405580",364,1,24.88,1,0
"39769739",364,1,60.25,1,0
"42662434",364,1,31.95,1,0
"21399116",364,1,17.95,1,0
"46477708",21,2,83.9,2,343
"27315963",364,1,24.95,1,0
"144671",364,1,34.95,1,0
"39016042",364,1,14.95,1,0
"48515374",364,1,411.4,3,0
"34353521",364,1,131.95,1,0
"1177967",168,11,373.93,16,196
"2201559",364,1,113.97,1,0
"3825983",364,1,33.9,1,0
"33656106",364,1,213.8,4,0
"36436973",364,1,249.95,1,0
"25819266",351,3,73.85,2,13
"36706970",279,3,104.8,3,84
"38883284",363,1,24.95,1,0
"25315468",3,962,37829,143,360
"17008723",363,1,29.9,2,0
"40760897",318,2,108.86,3,45
"46764769",363,1,158.78,5,0
"13885464",363,1,99.96,1,0
"40538075",363,1,242.51,4,0
"18777718",363,1,79.96,1,0
"45208557",292,4,195.62,5,71
"41245380",363,1,49.95,1,0
"12836510",104,6,416.78,10,259
"45788096",363,1,27.95,1,0
"13197540",363,1,44.95,1,0
"35117040",1,796,32752.18,104,362
"46161160",303,5,197.8,5,60
"3922299",74,9,429.47,19,289
"8201021",83,2,64.95,2,280
"17650405",363,1,59.95,1,0
"14723070",363,2,95.92,1,0
"43716543",271,2,119.59,2,92
"38706745",363,1,94.95,1,0
"43196032",363,1,199.95,1,0
"28123829",83,162,10452.88,133,280
"16880356",363,1,109.95,1,0
"13609705",310,2,135.08,2,53
"44942256",363,1,59.85,1,0
"7336648",363,1,69.95,1,0
"30345005",363,1,16.95,1,0
"34147962",330,3,209.45,5,33
"26721537",42,9,323.2,10,321
"54753",363,1,119.95,1,0
"35231294",363,1,60.25,1,0
"36867610",363,1,79.95,1,0
"58251",363,1,50.92,1,0
"49934266",363,1,31.95,1,0
"1564568",363,1,199.95,1,0
"6671674",132,4,197.5,2,231
"42517905",363,1,19.95,1,0
"1028115",363,1,20.96,1,0
"2449974",363,1,152.9,2,0
"32438244",46,5,211.75,5,317
"23609124",247,3,122.65,3,116
"44350352",363,1,26.27,1,0
"6410501",363,1,71.72,3,0
"23787622",363,1,11.95,1,0
"15390684",363,1,13.95,1,0
"12152445",363,1,29.95,1,0
"27829736",363,1,149.95,1,0
"29821067",363,1,32.95,1,0
"47261488",212,2,247.6,2,151
"40585963",363,1,99.96,1,0
"34579185",306,2,232.85,3,57
"34684203",363,1,104.95,1,0
"6182747",363,1,19.95,1,0
"35201043",363,1,39.9,1,0
"40039721",363,1,8.95,1,0
"32703803",39,2,107.95,2,324
"36966681",308,2,235.9,2,55
"32913449",363,1,74.96,1,0
"46990672",56,8,486.25,7,307
"43800910",363,1,43.9,2,0
"46540479",363,1,65.95,1,0
"18997383",363,1,119.95,2,0
"24464687",240,2,87.9,2,123
"16585233",363,1,37.95,1,0
"45893668",363,1,43.65,1,0
